"시군별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,남,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여,여
"시군별(1)",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계",13239666,525180,659810,643213,712249,854474,916221,847913,1077914,1074539,1215659,1131608,1067220,862325,537047,411432,325840,220092,105248,38207,9561,3914,6659995,269280,338134,329803,368385,446051,485388,437982,550377,545054,618317,570550,544587,433052,261574,192380,140267,83895,32465,9089,2333,1032,6579671,255900,321676,313410,343864,408423,430833,409931,527537,529485,597342,561058,522633,429273,275473,219052,185573,136197,72783,29118,7228,2882
"수원시",1194465,46728,57577,56983,66907,87558,99053,85427,99691,97379,108594,102598,93332,68991,41459,30847,23747,15905,7776,2904,723,286,601410,24073,29733,29260,34883,45469,52959,44800,50943,49142,54567,50439,47448,34450,19917,14297,9977,5805,2330,673,168,77,593055,22655,27844,27723,32024,42089,46094,40627,48748,48237,54027,52159,45884,34541,21542,16550,13770,10100,5446,2231,555,209
"용인시",1059609,44824,60631,60670,62431,67683,64570,61283,88194,95033,105191,86441,71451,57390,41331,35603,27576,17217,8076,3074,767,173,525946,22981,30996,31201,32127,34815,33668,30359,43169,46322,52746,43915,36690,27835,18787,16175,12862,7451,2834,809,172,32,533663,21843,29635,29469,30304,32868,30902,30924,45025,48711,52445,42526,34761,29555,22544,19428,14714,9766,5242,2265,595,141
"성남시",942724,31551,40454,41827,49432,60804,71583,65460,74108,73342,86968,79762,76646,64980,41534,32051,24276,15817,7773,3100,821,435,466644,16103,20799,21457,25390,30936,36980,33357,37110,36042,43307,39883,37942,32243,20063,14682,10710,6178,2374,763,210,115,476080,15448,19655,20370,24042,29868,34603,32103,36998,37300,43661,39879,38704,32737,21471,17369,13566,9639,5399,2337,611,320
"부천시",829996,27982,34016,33812,40745,56208,63539,55941,65285,61262,71709,73406,77591,64411,37711,25694,18804,12468,6287,2335,564,226,412500,14386,17367,17349,21015,28936,32909,28678,33423,31110,35887,35404,38182,32024,18713,12396,7933,4321,1767,528,116,56,417496,13596,16649,16463,19730,27272,30630,27263,31862,30152,35822,38002,39409,32387,18998,13298,10871,8147,4520,1807,448,170
"안산시",650918,20361,26078,29034,39098,51902,53217,40411,45451,48159,63128,66196,59943,41502,22192,15732,12787,9248,4416,1584,374,105,333766,10400,13265,14979,20273,27210,28741,22194,24356,24765,31658,33317,31816,22114,11148,7421,5222,3201,1250,322,92,22,317152,9961,12813,14055,18825,24692,24476,18217,21095,23394,31470,32879,28127,19388,11044,8311,7565,6047,3166,1262,282,83
"화성시",815396,48127,57482,49789,42931,43757,53115,63239,86722,81208,73678,58199,49697,38018,23857,17281,12824,9063,4473,1488,336,112,422470,24741,29286,25338,22048,23077,28989,32793,44903,43199,39807,31296,26567,19424,11842,8449,5534,3436,1321,317,69,34,392926,23386,28196,24451,20883,20680,24126,30446,41819,38009,33871,26903,23130,18594,12015,8832,7290,5627,3152,1171,267,78
"안양시",567044,19477,23290,24967,30805,39108,42252,38365,42297,41181,50782,50639,50589,41649,25085,17512,13234,9087,4587,1598,373,167,280652,9868,11924,12934,15902,20287,22056,19714,21520,20257,24685,24453,24793,20599,12623,8232,5648,3326,1319,373,92,47,286392,9609,11366,12033,14903,18821,20196,18651,20777,20924,26097,26186,25796,21050,12462,9280,7586,5761,3268,1225,281,120
"평택시",513027,21872,26371,25481,27597,32666,36272,34174,42629,42697,47398,43594,39868,30498,19119,14903,12647,9097,4066,1454,400,224,264012,11176,13538,13028,14369,17374,20241,18680,22711,22547,25048,22664,20974,15463,9065,6766,5232,3352,1211,382,123,68,249015,10696,12833,12453,13228,15292,16031,15494,19918,20150,22350,20930,18894,15035,10054,8137,7415,5745,2855,1072,277,156
"시흥시",473682,21573,25227,23847,26111,32392,33635,31515,42309,41132,45266,44439,38595,26238,14031,10017,8010,5521,2580,940,215,89,247804,10946,12989,12065,13705,17260,18533,16968,22607,22330,23860,23149,21164,14069,7236,4731,3310,1916,699,195,48,24,225878,10627,12238,11782,12406,15132,15102,14547,19702,18802,21406,21290,17431,12169,6795,5286,4700,3605,1881,745,167,65
"김포시",437221,23204,28867,23680,21117,22782,24640,27675,43459,41754,38604,32223,30521,26417,17440,13827,10059,6484,3035,1110,257,66,219552,11924,14745,12006,10872,12005,12716,13347,21488,21575,20331,16475,15742,12947,8315,6711,4452,2594,957,268,64,18,217669,11280,14122,11674,10245,10777,11924,14328,21971,20179,18273,15748,14779,13470,9125,7116,5607,3890,2078,842,193,48
"광명시",316552,11091,14633,15368,17695,19999,20951,20060,25167,25591,29419,26989,25584,22608,14520,10351,7827,4998,2487,845,229,140,156405,5654,7521,7836,9196,10409,11044,10210,12667,12612,14640,13450,12619,10746,6991,4813,3276,1762,674,203,48,34,160147,5437,7112,7532,8499,9590,9907,9850,12500,12979,14779,13539,12965,11862,7529,5538,4551,3236,1813,642,181,106
"광주시",372654,17384,18839,16288,17289,20976,22909,24762,35068,31305,33238,30995,30525,26732,16826,12076,8652,5169,2404,884,239,94,190774,8887,9737,8204,8995,11103,12042,12828,18426,16644,17607,15843,15461,13448,8448,5990,4027,2083,737,189,55,20,181880,8497,9102,8084,8294,9873,10867,11934,16642,14661,15631,15152,15064,13284,8378,6086,4625,3086,1667,695,184,74
"군포시",275852,10130,12472,12754,15315,18124,20090,18647,21230,20676,25084,24193,24123,19288,10924,8068,6468,4641,2457,888,212,68,136878,5186,6434,6554,7853,9473,10478,9641,10898,10228,12243,11814,11823,9537,5462,3737,2697,1700,808,241,51,20,138974,4944,6038,6200,7462,8651,9612,9006,10332,10448,12841,12379,12300,9751,5462,4331,3771,2941,1649,647,161,48
"이천시",215834,8902,11095,10746,11932,13322,15466,14175,16689,16703,18143,17634,17299,14483,9158,6903,5855,4298,2082,710,177,62,111244,4585,5753,5551,6243,7268,8934,7325,9052,8379,9616,9059,8993,7568,4506,3358,2507,1642,673,169,44,19,104590,4317,5342,5195,5689,6054,6532,6850,7637,8324,8527,8575,8306,6915,4652,3545,3348,2656,1409,541,133,43
"오산시",226379,11077,14186,12667,12315,14010,16411,16858,23245,21423,20590,17359,14852,11129,6807,5179,4110,2592,1089,347,86,47,116904,5704,7229,6503,6337,7257,9136,9059,12374,11436,10819,9025,7666,5530,3301,2387,1702,982,347,74,22,14,109475,5373,6957,6164,5978,6753,7275,7799,10871,9987,9771,8334,7186,5599,3506,2792,2408,1610,742,273,64,33
"하남시",272455,13679,15968,12280,11352,14495,17755,19460,27377,24588,22476,19767,20666,18995,12714,8989,5689,3470,1695,729,207,104,136985,7049,8129,6287,5800,7499,9198,9733,13850,12836,11887,9896,10010,9200,6269,4645,2675,1340,442,154,58,28,135470,6630,7839,5993,5552,6996,8557,9727,13527,11752,10589,9871,10656,9795,6445,4344,3014,2130,1253,575,149,76
"안성시",183405,6325,8615,8716,9549,10972,10484,10013,13619,14011,15901,15389,15443,13639,9393,7110,6100,4787,2377,736,176,50,94227,3252,4417,4479,4986,5866,5935,5455,7322,7462,8484,8201,8070,6900,4697,3380,2584,1827,720,138,40,12,89178,3073,4198,4237,4563,5106,4549,4558,6297,6549,7417,7188,7373,6739,4696,3730,3516,2960,1657,598,136,38
"의왕시",161153,6011,7090,6742,8420,11175,11557,10231,11901,11166,13800,14530,15109,12598,7127,5018,3838,2660,1447,550,138,45,80353,3148,3652,3477,4320,5848,6214,5324,6067,5681,6616,7085,7312,6290,3657,2416,1676,977,416,133,31,13,80800,2863,3438,3265,4100,5327,5343,4907,5834,5485,7184,7445,7797,6308,3470,2602,2162,1683,1031,417,107,32
"여주시",111083,3314,4402,4556,5396,6236,5831,5133,6876,7334,8834,9664,10539,9900,7122,5325,4747,3401,1689,587,159,38,56427,1710,2299,2363,2777,3336,3233,2785,3513,3727,4692,5086,5481,5044,3606,2633,2084,1339,546,128,30,15,54656,1604,2103,2193,2619,2900,2598,2348,3363,3607,4142,4578,5058,4856,3516,2692,2663,2062,1143,459,129,23
"과천시",58289,1933,2574,2870,3496,4046,3977,3701,4105,3909,5300,5280,4998,4016,2482,1888,1569,1133,607,279,77,49,28638,1054,1320,1491,1811,2141,2098,1887,2068,1831,2522,2555,2466,1991,1198,862,636,431,183,65,20,8,29651,879,1254,1379,1685,1905,1879,1814,2037,2078,2778,2725,2532,2025,1284,1026,933,702,424,214,57,41
"양평군",116874,3174,4446,4780,4978,5295,5161,4742,6476,7259,9069,9444,11574,12028,8936,6907,5728,3937,1979,711,190,60,58654,1593,2306,2486,2711,2857,2837,2457,3194,3674,4754,4933,5843,6002,4399,3483,2694,1579,611,179,49,13,58220,1581,2140,2294,2267,2438,2324,2285,3282,3585,4315,4511,5731,6026,4537,3424,3034,2358,1368,532,141,47
"고양시",1066351,37041,47772,49239,59761,73457,76223,64240,77377,81408,104112,98952,92171,69326,39657,31976,28293,20717,10013,3495,812,309,522749,18814,24430,25160,30864,38003,38549,31951,37957,39473,50298,48255,46425,35387,19323,14090,11483,7815,3276,882,236,78,543602,18227,23342,24079,28897,35454,37674,32289,39420,41935,53814,50697,45746,33939,20334,17886,16810,12902,6737,2613,576,231
"남양주시",701830,28310,39267,38366,39459,43026,39702,36237,56019,61268,67600,59185,54574,45810,30534,24055,18807,11723,5287,1910,482,209,349664,14549,20195,19695,20383,22351,20671,17920,27271,30341,34734,30050,27972,22585,14515,11236,8309,4653,1620,444,112,58,352166,13761,19072,18671,19076,20675,19031,18317,28748,30927,32866,29135,26602,23225,16019,12819,10498,7070,3667,1466,370,151
"의정부시",451868,15621,19652,19749,24106,30858,31654,26252,33521,33255,41375,40193,38580,31780,20309,16573,13642,8896,3936,1395,318,203,222590,8139,10062,10187,12390,15673,16263,13198,17165,16737,20499,19665,19185,15533,9551,7401,5793,3421,1255,359,70,44,229278,7482,9590,9562,11716,15185,15391,13054,16356,16518,20876,20528,19395,16247,10758,9172,7849,5475,2681,1036,248,159
"파주시",454040,19753,25597,24162,24458,26214,29063,29999,37820,37110,42024,36407,33215,27555,17469,14997,13089,8911,4114,1521,380,182,230461,10078,13012,12408,12722,13987,15068,16309,19835,18883,21845,19196,17318,13815,8358,6826,5505,3443,1348,360,90,55,223579,9675,12585,11754,11736,12227,13995,13690,17985,18227,20179,17211,15897,13740,9111,8171,7584,5468,2766,1161,290,127
"양주시",222314,8510,11304,11513,12419,13377,12903,11595,16019,17543,21040,18896,17913,15870,10272,8682,6938,4473,2057,720,206,64,112775,4389,5726,5906,6346,7137,6953,6053,8170,8847,11010,9898,9419,8023,5049,4126,3071,1790,641,165,45,11,109539,4121,5578,5607,6073,6240,5950,5542,7849,8696,10030,8998,8494,7847,5223,4556,3867,2683,1416,555,161,53
"구리시",199265,7305,9040,8703,10413,13575,13930,11862,15716,15420,18183,18228,17677,14054,8529,6378,5021,3125,1430,457,147,72,98968,3785,4661,4571,5321,6938,7128,5960,7969,7739,8959,8747,8947,7156,4210,2918,2136,1195,453,117,35,23,100297,3520,4379,4132,5092,6637,6802,5902,7747,7681,9224,9481,8730,6898,4319,3460,2885,1930,977,340,112,49
"포천시",148379,4066,5252,5781,7374,9110,8782,7057,7982,9050,12409,14235,15526,14140,8145,6739,5649,4185,1922,696,210,69,78231,2114,2712,3040,3843,5106,5154,3909,4381,4754,6790,7776,8562,7751,4248,3278,2384,1585,606,150,65,23,70148,1952,2540,2741,3531,4004,3628,3148,3601,4296,5619,6459,6964,6389,3897,3461,3265,2600,1316,546,145,46
"동두천시",94768,2827,4095,4203,4802,5701,5500,4605,6028,6643,8296,8171,8146,7407,4938,4532,4192,2852,1185,460,105,80,47308,1462,2129,2071,2464,3102,3030,2418,3021,3436,4273,4386,4217,3695,2311,1959,1671,1094,394,130,27,18,47460,1365,1966,2132,2338,2599,2470,2187,3007,3207,4023,3785,3929,3712,2627,2573,2521,1758,791,330,78,62
"가평군",62415,1605,2002,2176,2681,3142,3032,2713,3279,3534,4563,5281,6387,6597,4612,3539,3254,2367,1112,391,103,45,32042,794,1002,1132,1435,1766,1724,1475,1730,1866,2515,2836,3312,3446,2347,1732,1457,965,357,103,30,18,30373,811,1000,1044,1246,1376,1308,1238,1549,1668,2048,2445,3075,3151,2265,1807,1797,1402,755,288,73,27
"연천군",43824,1423,1516,1464,1865,2504,2964,2081,2255,2196,2885,3319,4086,4276,2814,2680,2408,1850,810,309,78,41,22962,736,766,785,1004,1562,1907,1195,1217,1179,1618,1799,2168,2237,1419,1250,1020,692,296,76,21,15,20862,687,750,679,861,942,1057,886,1038,1017,1267,1520,1918,2039,1395,1430,1388,1158,514,233,57,26
